                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.85057,                0.39547,                0.77894,                0.83205,                0.71653,                0.77832,                0.52051,                0.90941,                0.45521,                0.78885,             0.00041599,             0.00041599,             0.00041599
                      2,                0.88963,                0.42017,                0.78099,                0.86415,                0.67731,                0.76868,                0.50948,                0.88249,                0.47771,                0.78849,             0.00082441,             0.00082441,             0.00082441
                      3,                0.91976,                0.44477,                  0.782,                0.86962,                0.69094,                0.76224,                0.49653,                0.93542,                 0.4897,                0.79277,              0.0012246,              0.0012246,              0.0012246
                      4,                 1.0031,                0.46535,                 0.7854,                0.86357,                0.68435,                0.76591,                0.50119,                0.92558,                0.47021,                0.78972,              0.0012129,              0.0012129,              0.0012129
                      5,                0.95279,                0.44402,                0.78683,                0.79963,                0.73816,                 0.7609,                0.50112,                 0.9619,                0.47281,                0.79186,              0.0012005,              0.0012005,              0.0012005
                      6,                0.91441,                0.43278,                0.78625,                 0.8313,                0.70322,                0.76423,                0.51448,                 0.8915,                0.45956,                0.78707,              0.0011881,              0.0011881,              0.0011881
                      7,                0.91593,                0.42819,                0.78321,                0.83019,                0.67943,                0.75791,                0.50585,                0.89303,                0.47148,                0.78997,              0.0011757,              0.0011757,              0.0011757
                      8,                0.90808,                0.42569,                0.78293,                0.90378,                0.61987,                0.75605,                0.49699,                0.88777,                 0.4596,                0.78923,              0.0011634,              0.0011634,              0.0011634
                      9,                0.88519,                0.41915,                0.78288,                0.76837,                0.69348,                0.73988,                0.50113,                0.88718,                0.46299,                0.78977,               0.001151,               0.001151,               0.001151
                     10,                 1.0064,                0.46376,                0.78689,                0.84985,                0.71112,                0.79172,                0.53068,                0.89085,                0.46346,                0.79107,              0.0011386,              0.0011386,              0.0011386
                     11,                0.97985,                0.45528,                0.78666,                0.88929,                0.69648,                0.77691,                0.49965,                0.91558,                0.47213,                0.79166,              0.0011263,              0.0011263,              0.0011263
                     12,                0.94264,                0.44676,                0.78388,                0.86146,                0.75331,                0.80016,                0.52225,                0.91867,                0.45005,                0.79045,              0.0011139,              0.0011139,              0.0011139
                     13,                  0.905,                0.42875,                0.78371,                 0.8537,                0.71591,                0.78658,                0.51591,                0.92615,                0.46168,                0.79072,              0.0011015,              0.0011015,              0.0011015
                     14,                0.92672,                0.43119,                0.78245,                0.90626,                0.69275,                 0.7751,                0.51293,                0.88152,                0.45967,                0.78984,              0.0010891,              0.0010891,              0.0010891
                     15,                0.88929,                0.41985,                0.78356,                0.87466,                0.70727,                0.77263,                0.50086,                0.88943,                 0.4459,                0.78813,              0.0010768,              0.0010768,              0.0010768
                     16,                 0.8902,                 0.4119,                  0.783,                0.79892,                0.70251,                0.75064,                0.50705,                0.88619,                0.45347,                0.78858,              0.0010644,              0.0010644,              0.0010644
                     17,                0.88891,                0.41248,                0.78294,                0.81812,                 0.7189,                0.78226,                0.52104,                 0.9176,                0.46109,                0.79012,               0.001052,               0.001052,               0.001052
                     18,                0.90241,                0.41476,                0.78443,                0.85338,                0.71099,                0.76788,                0.52094,                0.91134,                0.45282,                0.79045,              0.0010396,              0.0010396,              0.0010396
                     19,                0.88441,                0.41341,                0.78253,                0.90778,                0.74009,                0.78912,                  0.526,                 0.8833,                0.44533,                0.78939,              0.0010273,              0.0010273,              0.0010273
                     20,                0.90762,                0.41742,                0.78183,                0.82688,                0.72979,                  0.754,                0.49657,                0.90382,                0.45467,                 0.7876,              0.0010149,              0.0010149,              0.0010149
                     21,                0.88975,                0.41059,                0.78347,                0.84946,                0.70459,                0.77173,                 0.5258,                0.87857,                0.45102,                0.78793,              0.0010025,              0.0010025,              0.0010025
                     22,                0.87635,                0.40631,                0.78207,                0.81592,                0.70726,                0.77894,                0.52183,                0.87923,                0.46033,                0.79036,             0.00099013,             0.00099013,             0.00099013
                     23,                0.87513,                0.41006,                 0.7838,                0.80465,                0.70174,                0.75039,                0.50498,                 0.9079,                 0.4713,                0.78833,             0.00097775,             0.00097775,             0.00097775
                     24,                0.90314,                0.41671,                0.78441,                 0.8631,                0.67568,                0.75873,                0.49659,                0.90506,                0.46052,                0.79056,             0.00096537,             0.00096537,             0.00096537
                     25,                0.87303,                0.40545,                0.78198,                0.80199,                0.69104,                0.74342,                0.50776,                0.89124,                0.45475,                0.78824,               0.000953,               0.000953,               0.000953
                     26,                0.87617,                0.41057,                0.78188,                0.88651,                0.74542,                0.75539,                0.51171,                0.86087,                 0.4375,                0.78688,             0.00094062,             0.00094062,             0.00094062
                     27,                0.87956,                 0.4116,                0.78219,                0.86555,                0.69866,                0.76215,                0.51726,                0.87757,                0.45459,                0.78844,             0.00092825,             0.00092825,             0.00092825
                     28,                 0.8628,                0.41018,                0.78141,                0.88837,                0.73296,                0.78196,                0.52267,                0.88405,                0.45002,                0.78843,             0.00091588,             0.00091588,             0.00091588
                     29,                0.88069,                0.41385,                0.78156,                0.88577,                0.71877,                0.78871,                0.53516,                0.86214,                0.43417,                0.78889,              0.0009035,              0.0009035,              0.0009035
                     30,                0.86211,                0.40184,                 0.7812,                 0.9296,                0.68318,                0.76653,                0.50772,                0.90761,                0.45369,                0.78928,             0.00089112,             0.00089112,             0.00089112
                     31,                0.86025,                0.39522,                0.78159,                0.83713,                0.71307,                0.76862,                0.51952,                0.85916,                0.44961,                0.78852,             0.00087875,             0.00087875,             0.00087875
                     32,                 0.8631,                 0.3975,                0.78015,                0.87909,                0.75836,                0.79689,                0.53475,                0.88238,                0.44617,                0.78753,             0.00086637,             0.00086637,             0.00086637
                     33,                0.90976,                0.41567,                0.78117,                0.83972,                0.73084,                0.78097,                0.52477,                0.86178,                0.45915,                 0.7871,               0.000854,               0.000854,               0.000854
                     34,                0.83022,                0.38592,                0.78088,                 0.8356,                 0.7225,                0.78483,                0.52314,                0.85486,                0.43916,                0.78658,             0.00084162,             0.00084162,             0.00084162
                     35,                0.85641,                0.39383,                0.77979,                0.78974,                0.71262,                0.75909,                0.50673,                0.88019,                0.45433,                 0.7889,             0.00082925,             0.00082925,             0.00082925
                     36,                0.83049,                0.38935,                0.77777,                0.86281,                0.69312,                0.75583,                0.50736,                 0.8694,                0.45605,                0.78744,             0.00081688,             0.00081688,             0.00081688
                     37,                0.83729,                0.39121,                0.78032,                0.90605,                0.69014,                 0.7747,                 0.5267,                0.87915,                0.44147,                0.78696,              0.0008045,              0.0008045,              0.0008045
                     38,                0.82078,                0.38355,                0.77873,                0.90531,                0.69292,                0.77075,                 0.5248,                0.86538,                0.44019,                0.78668,             0.00079213,             0.00079213,             0.00079213
                     39,                0.84324,                 0.3955,                0.77824,                0.86491,                 0.7198,                0.79057,                0.53956,                0.87891,                0.43916,                0.78781,             0.00077975,             0.00077975,             0.00077975
                     40,                0.83032,                0.39315,                0.78006,                0.88676,                0.71552,                0.76707,                0.52511,                0.86416,                0.46131,                0.78598,             0.00076738,             0.00076738,             0.00076738
                     41,                0.84437,                0.39529,                0.77771,                0.87088,                0.72991,                0.77648,                0.53186,                0.89118,                0.44816,                0.78779,               0.000755,               0.000755,               0.000755
                     42,                 0.8409,                 0.3887,                0.77975,                 0.8874,                0.70008,                0.78244,                0.53489,                0.86104,                0.44513,                0.78664,             0.00074263,             0.00074263,             0.00074263
                     43,                0.82589,                0.38672,                0.77818,                 0.8564,                0.70979,                 0.7496,                 0.5174,                0.88461,                0.44931,                0.78659,             0.00073025,             0.00073025,             0.00073025
                     44,                0.82836,                0.39111,                0.78044,                0.90325,                0.68394,                0.76922,                0.50859,                0.89523,                0.46983,                0.78766,             0.00071788,             0.00071788,             0.00071788
                     45,                 0.8206,                0.38773,                0.77957,                0.82793,                0.67637,                0.75438,                 0.5173,                0.86656,                0.45341,                 0.7869,              0.0007055,              0.0007055,              0.0007055
                     46,                 0.8214,                0.38674,                0.78036,                0.87645,                0.68377,                 0.7644,                0.51775,                0.87218,                0.44596,                0.78623,             0.00069313,             0.00069313,             0.00069313
                     47,                0.82814,                 0.3884,                0.77868,                0.84023,                0.71901,                0.78744,                0.52253,                0.87547,                0.43065,                 0.7873,             0.00068075,             0.00068075,             0.00068075
                     48,                0.80669,                0.37926,                0.77839,                0.84762,                0.69239,                0.75394,                 0.5152,                0.88291,                 0.4573,                0.78735,             0.00066838,             0.00066838,             0.00066838
                     49,                0.80182,                0.37914,                0.78009,                0.84732,                0.75095,                0.78234,                0.52453,                0.87379,                0.44931,                0.78677,               0.000656,               0.000656,               0.000656
                     50,                0.81114,                0.37834,                0.77875,                0.84039,                0.72582,                0.77637,                0.53771,                0.86226,                0.44246,                0.78557,             0.00064362,             0.00064362,             0.00064362
                     51,                0.82746,                0.38306,                0.77937,                0.85018,                0.72671,                0.77986,                0.52782,                0.90633,                0.44756,                0.78811,             0.00063125,             0.00063125,             0.00063125
                     52,                0.79946,                0.37188,                0.77683,                0.82501,                0.71007,                 0.7729,                0.52688,                0.89803,                0.44878,                  0.789,             0.00061887,             0.00061887,             0.00061887
                     53,                0.82302,                0.37992,                0.77826,                0.86057,                0.71333,                0.76312,                0.51896,                0.87936,                0.45451,                0.78787,              0.0006065,              0.0006065,              0.0006065
                     54,                0.79396,                0.37099,                0.77653,                0.89528,                0.72416,                0.79671,                0.53843,                 0.8614,                0.42684,                0.78581,             0.00059413,             0.00059413,             0.00059413
                     55,                0.77382,                0.36372,                0.77768,                0.88598,                0.70491,                0.78817,                0.53688,                0.88272,                 0.4387,                0.78695,             0.00058175,             0.00058175,             0.00058175
                     56,                0.80676,                0.37423,                0.77757,                 0.8474,                 0.7078,                0.77236,                0.51752,                0.93023,                0.45305,                 0.7907,             0.00056938,             0.00056938,             0.00056938
                     57,                0.82253,                0.37873,                0.77755,                0.88741,                0.73144,                0.76996,                0.51566,                0.87418,                0.44317,                0.78597,               0.000557,               0.000557,               0.000557
                     58,                0.77739,                0.36342,                0.77925,                0.90269,                0.69965,                0.78996,                0.53481,                0.86911,                0.42289,                0.78549,             0.00054463,             0.00054463,             0.00054463
                     59,                 0.7737,                0.36098,                0.77812,                 0.8729,                0.71045,                0.79245,                0.54204,                 0.8822,                0.42506,                0.78598,             0.00053225,             0.00053225,             0.00053225
                     60,                0.77098,                 0.3622,                0.77574,                0.89429,                0.74411,                0.80266,                0.55009,                0.84893,                0.41702,                0.78469,             0.00051988,             0.00051988,             0.00051988
